# Sequence file : ecoli_cds.fasta
# Uncap option is used.

# Sequence_name	Start_pos	End_pos	Stopped_or_skipped	Transit_path_length	Prob_log_score	HT_index
AAC73252.1	1	194	None	193	-749.8593	-3.885282
AAC73253.1	1	159	None	158	-612.919	-3.879234
AAC73254.2	1	465	None	464	-1755.913	-3.784296
AAC73255.3	1	308	None	307	-1198.758	-3.904749
AAC73256.1	1	151	None	150	-561.3902	-3.742602
AAC73257.1	1	234	None	233	-930.0773	-3.991748
AAC73258.2	1	176	None	175	-683.9566	-3.908323
AAC73259.2	1	809	None	808	-3046.335	-3.770217
AAC73260.1	1	844	None	843	-3163.287	-3.752416
AAC73261.1	1	747	None	746	-2852.578	-3.823831
AAC73262.1	1	265	None	264	-985.6327	-3.733457
AAC73263.1	1	296	None	295	-1116.084	-3.783336
AAC73264.1	1	660	None	659	-2452.742	-3.721915
AAC73265.1	1	426	None	425	-1583.512	-3.72591
AAC73266.1	1	473	None	472	-1779.853	-3.770876
AAC73267.1	1	114	None	113	-416.4674	-3.685552
AAC73268.1	1	207	None	206	-788.2348	-3.826383
AAC73269.1	1	266	None	265	-1032.956	-3.897946
AAC73270.1	1	232	None	231	-878.9505	-3.80498
AAC73271.1	1	505	None	504	-1966.648	-3.90208
AAC73272.1	1	474	None	473	-1777.835	-3.758636
AAC73273.2	1	385	None	384	-1449.662	-3.775161
AAC73274.1	1	128	None	127	-485.7109	-3.824495
AAC73275.2	1	270	None	269	-1058.387	-3.934525
AAC73277.1	1	274	None	273	-1013.809	-3.713586
AAC73278.1	1	890	None	889	-3408.334	-3.833896
AAC73279.1	1	264	None	263	-988.7425	-3.759477
AAC73280.1	1	241	None	240	-909.4294	-3.789289
AAC73281.1	1	283	None	282	-1047.108	-3.713148
AAC73282.1	1	241	None	240	-896.6254	-3.735939
AAC73283.1	1	185	None	184	-686.0011	-3.728267
AAC73284.1	1	398	None	397	-1521.713	-3.83303
AAC73285.1	1	253	None	252	-1001.42	-3.973887
AAC73286.2	1	285	None	284	-1111.838	-3.914922
AAC73287.1	1	450	None	449	-1767.971	-3.937574
AAC73288.1	1	810	None	809	-3128.831	-3.867529
AAC73289.1	1	161	None	160	-599.7025	-3.74814
AAC73290.1	1	341	None	340	-1309.196	-3.850577
AAC73291.1	1	151	None	150	-574.6116	-3.830744
AAC73292.1	1	262	None	261	-1000.195	-3.832164
AAC73293.1	1	382	None	381	-1435.549	-3.767844
AAC73294.1	1	198	None	197	-740.8221	-3.760518
AAC73295.1	1	1160	None	1159	-4402.643	-3.798657
AAC73296.1	1	319	None	318	-1157.842	-3.641013
AAC73297.1	1	713	None	712	-2726.616	-3.829517
AAC73298.2	1	129	None	128	-493.8526	-3.858223
AAC73299.1	1	432	None	431	-1634.52	-3.792389
AAC73300.2	1	84	None	83	-312.8753	-3.769582
AAT48124.1	1	66	None	65	-258.2478	-3.973043
AAC73301.1	1	181	None	180	-659.5343	-3.66408
AAC73302.1	1	140	None	139	-536.9322	-3.862822
AAC73303.1	1	236	None	235	-909.5128	-3.870267
AAC73304.2	1	274	None	273	-1087.563	-3.983748
AAC73305.1	1	572	None	571	-2149.987	-3.765301
AAC73306.1	1	235	None	234	-886.5863	-3.78883
AAC73307.1	1	134	None	133	-534.4383	-4.018333
AAC73308.1	1	271	None	270	-1008.673	-3.735827
AAC73309.1	1	217	None	216	-806.279	-3.732773
AAC73310.1	1	343	None	342	-1304.586	-3.814578
AAC73311.1	1	191	None	190	-721.0482	-3.79499
AAC73312.1	1	267	None	266	-1005.674	-3.780731
AAC73313.1	1	304	None	303	-1208.274	-3.987702
AAC73314.1	1	266	None	265	-1039.35	-3.922074
AAC73315.1	1	207	None	206	-810.1028	-3.932538
AAC73316.1	1	452	None	451	-1779.77	-3.946275
AAC73317.1	1	251	None	250	-1009.171	-4.036684
AAC73318.2	1	240	None	239	-953.5483	-3.989742
AAC73319.1	1	155	None	154	-593.0461	-3.850949
AAC73320.1	1	243	None	242	-936.2105	-3.868638
AAC73321.1	1	261	None	260	-1030.026	-3.96164
ABP93434.1	1	159	None	158	-671.9985	-4.253155
AAC73323.1	1	256	None	255	-985.2796	-3.863842
AAC73324.1	1	157	None	156	-607.8504	-3.896477
AAC73325.2	1	814	None	813	-3008.301	-3.700247
AAC73326.1	1	192	None	191	-709.0148	-3.712119
AAC73327.1	1	255	None	254	-989.3667	-3.895144
AAC73328.1	1	246	None	245	-948.3103	-3.870654
AAC73329.1	1	92	None	91	-373.4711	-4.104078
AAC73330.1	1	86	None	85	-327.5175	-3.853147
AAC73331.1	1	249	None	248	-977.6606	-3.94218
AAC73332.1	1	165	None	164	-677.4445	-4.130759
AAC73335.1	1	351	None	350	-1331.609	-3.804596
AAC73336.1	1	97	None	96	-385.4563	-4.01517
AAC73337.1	1	132	None	131	-519.8262	-3.968139
AAC73338.1	1	150	None	149	-600.462	-4.029946
AAC73341.1	1	485	None	484	-1815.655	-3.751353
AAC73342.1	1	152	None	151	-561.7706	-3.720335
AAC73343.1	1	414	None	413	-1595.693	-3.863664
AAC73345.1	1	351	None	350	-1328.016	-3.794331
AAC73346.1	1	367	None	366	-1370.187	-3.743681
AAC73347.1	1	417	None	416	-1551.383	-3.729287
AAC73348.1	1	113	None	112	-448.4063	-4.003627
AAC73349.1	1	105	None	104	-415.757	-3.997664
ABD18634.1	1	73	None	72	-290.2781	-4.03164
AAC73350.1	1	158	None	157	-618.5317	-3.939693
AAC73351.1	1	152	None	151	-589.9676	-3.90707
AAC73352.1	1	79	None	78	-314.2249	-4.028525
AAC73353.1	1	155	None	154	-611.2466	-3.969133
AAC73354.2	1	147	None	146	-567.6508	-3.888019
AAC73355.2	1	273	None	272	-1075.937	-3.95565
AAC73356.2	1	287	None	286	-1130.829	-3.953948
AAC73357.1	1	297	None	296	-1204.308	-4.068609
AAC73359.1	1	383	None	382	-1624.994	-4.253911
AAC73362.1	1	338	None	337	-1329.719	-3.945753
AAC73363.2	1	467	None	466	-1779.281	-3.818199
AAC73364.1	1	310	None	309	-1153.325	-3.732442
AAC73365.2	1	348	None	347	-1291.222	-3.721101
AAC73367.1	1	167	None	166	-668.8814	-4.029406
AAC73368.1	1	91	None	90	-360.0839	-4.000932
AAC73370.1	1	384	None	383	-1516.85	-3.960444
AAC73371.2	1	302	None	301	-1132.285	-3.761744
AAC73372.1	1	655	None	654	-2472.579	-3.780702
AAC73373.1	1	460	None	459	-1746.289	-3.804552
AAC73374.1	1	536	None	535	-2084.138	-3.895585
AAC73375.1	1	252	None	251	-959.28	-3.821833
AAC73376.1	1	334	None	333	-1264.518	-3.79735
AAC73377.1	1	167	None	166	-668.8814	-4.029406
AAC73378.1	1	91	None	90	-360.0839	-4.000932
AAC73380.1	1	208	None	207	-849.9517	-4.106047
AAC73381.1	1	232	None	231	-964.7688	-4.176488
AAC73382.1	1	284	None	283	-1188.388	-4.199251
AAC73383.1	1	146	None	145	-620.8109	-4.281454
AAC73384.1	1	466	None	465	-1934.265	-4.15971
AAC73386.1	1	318	None	317	-1247.818	-3.936335
AAC73387.1	1	732	None	731	-2828.824	-3.869801
AAC73388.1	1	318	None	317	-1234.308	-3.893715
AAC73389.1	1	229	None	228	-903.6306	-3.963292
AAC73390.1	1	204	None	203	-831.4652	-4.095888
AAC73391.1	1	109	None	108	-461.7124	-4.275115
AAC73392.2	1	236	None	235	-946.5449	-4.027851
AAC73393.1	1	547	None	546	-2152.731	-3.94273
AAC73394.1	1	841	None	840	-3279.573	-3.904253
AAC73395.1	1	222	None	221	-871.7151	-3.944412
AAC73396.1	1	195	None	194	-743.5609	-3.832788
AAC73397.1	1	196	None	195	-816.8143	-4.188791
AAC73398.1	1	75	None	74	-320.507	-4.331176
ABD18636.1	1	46	None	45	-181.8714	-4.041587
AAC73399.1	1	87	None	86	-351.7862	-4.090537
ACO59990.1	1	33	None	32	-123.9744	-3.874199
AAC73401.2	1	99	None	98	-380.4145	-3.881781
AAC73402.1	1	288	None	287	-1156.954	-4.031198
AAC73404.2	1	197	None	196	-773.0248	-3.944004
AAC73406.2	1	78	None	77	-311.6237	-4.047061
AAC73407.2	1	441	None	440	-1736.131	-3.945753
AAC73408.1	1	284	None	283	-1142.608	-4.037484
AAC73409.1	1	239	None	238	-928.7825	-3.902447
AAC73410.1	1	475	None	474	-1844.308	-3.890945
AAC73411.2	1	231	None	230	-901.3412	-3.918875
AAC73413.1	1	222	None	221	-906.5357	-4.101972
AAC73414.1	1	556	None	555	-2118.342	-3.816833
AAC73415.1	1	490	None	489	-1824.991	-3.732087
AAC73416.1	1	195	None	194	-737.9077	-3.803648
AAC73417.1	1	677	None	676	-2554.309	-3.778563
AAC73418.1	1	362	None	361	-1419.458	-3.932016
AAC73419.1	1	310	None	309	-1186.282	-3.839102
AAC73420.1	1	165	None	164	-647.8476	-3.95029
AAC73421.1	1	201	None	200	-758.904	-3.79452
AAC73422.1	1	287	None	286	-1115.46	-3.90021
AAC73423.1	1	515	None	514	-1892.075	-3.681079
AAC73424.1	1	472	None	471	-1725.479	-3.663438
AAC73426.1	1	316	None	315	-1162.461	-3.690353
AAC73427.1	1	460	None	459	-1702.471	-3.709087
AAC73428.1	1	349	None	348	-1351.016	-3.88223
AAC73429.1	1	271	None	270	-1106.27	-4.097297
AAC73430.2	1	81	None	80	-338.057	-4.225712
AAC73431.1	1	223	None	222	-875.9619	-3.945774
AAC73432.1	1	91	None	90	-346.2073	-3.846747
AAC73433.1	1	528	None	527	-1982.692	-3.762224
AAC73434.1	1	296	None	295	-1086.507	-3.683076
AAC73436.1	1	389	None	388	-1451.367	-3.740636
AAC73437.1	1	483	None	482	-1812.426	-3.760219
AAC73438.1	1	628	None	627	-2355.142	-3.756207
AAC73439.1	1	419	None	418	-1585.723	-3.793596
AAC73440.1	1	427	None	426	-1595.338	-3.744924
AAC73441.3	1	299	None	298	-1180.354	-3.96092
AAC73442.1	1	219	None	218	-848.0505	-3.89014
AAC73443.1	1	156	None	155	-577.9277	-3.728566
AAC73444.1	1	384	None	383	-1446.169	-3.775898
AAC73445.1	1	203	None	202	-814.6576	-4.032958
AAC73446.1	1	417	None	416	-1591.882	-3.826639
AAC73447.1	1	1024	None	1023	-3908.198	-3.820331
AAC73448.1	1	360	None	359	-1360.078	-3.788519
AAC73449.2	1	277	None	276	-1062.048	-3.848
AAC73450.1	1	554	None	553	-2065.943	-3.735883
AAC73451.1	1	314	None	313	-1192.655	-3.810398
AAC73452.3	1	288	None	287	-1077.62	-3.754772
AAC73453.2	1	269	None	268	-1017.596	-3.797001
AAC73454.1	1	316	None	315	-1181.873	-3.751978
AAC73455.1	1	337	None	336	-1259.056	-3.747191
AAC73456.2	1	403	None	402	-1542.218	-3.836364
AAC73457.2	1	179	None	178	-660.1804	-3.708879
AAC73458.1	1	277	None	276	-1076.514	-3.900414
AAC73459.1	1	369	None	368	-1400.769	-3.806439
AAC73460.2	1	91	None	90	-366.7518	-4.07502
AAC73461.1	1	257	None	256	-976.0634	-3.812748
AAC73463.2	1	121	None	120	-479.4277	-3.995231
AAC73464.1	1	301	None	300	-1225.15	-4.083834
AAC73466.1	1	398	None	397	-1571.905	-3.959457
AAC73467.2	1	185	None	184	-738.5065	-4.013622
AAC73468.2	1	320	None	319	-1191.2	-3.73417
AAC73469.1	1	255	None	254	-946.8668	-3.727822
AAC73470.1	1	275	None	274	-1017.299	-3.712771
AAC73471.1	1	283	None	282	-1070.185	-3.794981
AAC73472.2	1	324	None	323	-1231.402	-3.812391
AAC73475.1	1	288	None	287	-1156.954	-4.031198
AAC73476.2	1	99	None	98	-380.4145	-3.881781
AAC73478.2	1	207	None	206	-830.421	-4.03117
AAC73479.1	1	385	None	384	-1472.515	-3.834674
AAC73480.1	1	406	None	405	-1543.703	-3.811613
AAC73481.1	1	364	None	363	-1384.274	-3.813427
AAC73482.1	1	102	None	101	-391.2204	-3.873469
AAC73483.2	1	70	None	69	-259.4717	-3.760459
AAC73484.1	1	364	None	363	-1375.277	-3.788642
AAC73485.1	1	86	None	85	-332.7923	-3.915204
AAC73486.2	1	471	None	470	-1789.887	-3.808271
AAC73487.2	1	106	None	105	-408.8019	-3.893351
AAC73488.1	1	371	None	370	-1445.915	-3.907879
AAC73489.1	1	269	None	268	-999.3727	-3.729003
AAC73490.2	1	152	None	151	-580.2951	-3.843014
AAC73491.1	1	174	None	173	-673.0944	-3.890719
AAC73492.1	1	63	None	62	-250.7917	-4.045028
AAC73493.1	1	225	None	224	-866.1356	-3.866677
AAC73494.1	1	94	None	93	-355.8711	-3.82657
AAC73496.1	1	303	None	302	-1106.679	-3.664499
AAC73497.2	1	302	None	301	-1147.394	-3.81194
AAC73499.1	1	394	None	393	-1521.472	-3.87143
AAC73500.1	1	1048	None	1047	-3932.487	-3.755957
AAC73501.1	1	400	None	399	-1522.699	-3.816288
AAC73502.1	1	229	None	228	-874.9267	-3.837398
AAC73503.1	1	431	None	430	-1634.387	-3.800899
AAC73504.1	1	439	None	438	-1639.476	-3.743097
AAC73505.1	1	457	None	456	-1712.374	-3.755206
AAC73506.2	1	604	None	603	-2293.81	-3.803997
AAC73507.1	1	193	None	192	-750.8618	-3.910738
AAC73508.1	1	356	None	355	-1329.6	-3.745352
AAC73509.1	1	375	None	374	-1427.932	-3.818
AAC73510.1	1	110	None	109	-411.9409	-3.779274
AAC73511.1	1	615	None	614	-2323.469	-3.784152
AAC73512.1	1	323	None	322	-1224.287	-3.802135
AAC73513.1	1	115	None	114	-437.8075	-3.840416
AAC73514.1	1	294	None	293	-1125.354	-3.840799
AAC73515.2	1	179	None	178	-705.249	-3.962073
AAC73516.1	1	149	None	148	-570.6763	-3.855921
AAC73517.1	1	367	None	366	-1407.434	-3.845449
AAC73518.1	1	156	None	155	-575.5378	-3.713147
AAC73519.1	1	139	None	138	-527.8382	-3.824915
AAC73520.1	1	325	None	324	-1224.831	-3.780342
AAC73521.1	1	172	None	171	-648.2029	-3.79066
AAC73522.2	1	324	None	323	-1233.364	-3.818464
AAC73523.1	1	620	None	619	-2298.587	-3.713388
AAC73524.1	1	299	None	298	-1138.554	-3.820651
AAC73525.1	1	80	None	79	-297.2747	-3.76297
AAC73526.1	1	482	None	481	-1790.927	-3.723341
AAC73527.2	1	196	None	195	-718.7093	-3.685689
AAC73528.1	1	303	None	302	-1155.882	-3.827423
AAC73529.2	1	163	None	162	-598.909	-3.696969
AAC73530.2	1	454	None	453	-1712.013	-3.779278
AAC73531.1	1	296	None	295	-1123.465	-3.808354
AAC73532.1	1	109	None	108	-422.5498	-3.912498
AAC73533.1	1	204	None	203	-780.058	-3.84265
AAC73534.1	1	663	None	662	-2522.352	-3.8102
AAC73535.1	1	315	None	314	-1235.955	-3.936163
AAC73536.1	1	491	None	490	-1895.643	-3.868658
AAC73537.2	1	192	None	191	-718.2277	-3.760355
AAC73538.2	1	105	None	104	-425.4486	-4.090852
AAC73539.1	1	432	None	431	-1581.769	-3.669998
AAC73540.1	1	207	None	206	-793.1777	-3.850377
AAC73541.1	1	424	None	423	-1568.315	-3.707599
AAC73542.1	1	784	None	783	-2911.535	-3.718435
AAC73543.1	1	90	None	89	-339.0046	-3.80904
AAC73544.1	1	623	None	622	-2302.419	-3.701638
AAC73545.1	1	123	None	122	-456.3731	-3.740763
AAC73546.1	1	132	None	131	-506.4863	-3.866307
AAC73547.1	1	231	None	230	-863.2035	-3.753059
AAC73548.1	1	566	None	565	-2199.065	-3.89215
AAC73549.2	1	272	None	271	-1050.171	-3.875168
AAC73550.2	1	152	None	151	-572.6892	-3.792643
AAC73551.1	1	590	None	589	-2216.464	-3.763097
AAC73552.1	1	593	None	592	-2194.842	-3.707503
AAC73553.1	1	112	None	111	-408.1423	-3.676958
AAC73554.1	1	428	None	427	-1597.394	-3.74097
AAC73555.1	1	286	None	285	-1102.869	-3.869715
AAC73556.1	1	190	None	189	-731.8424	-3.872182
AAC73557.1	1	129	None	128	-498.6952	-3.896056
AAC73558.1	1	117	None	116	-446.1497	-3.846118
AAC73559.2	1	516	None	515	-2001.853	-3.887092
AAC73560.2	1	156	None	155	-592.5333	-3.822795
AAC73561.1	1	183	None	182	-718.9698	-3.950384
AAC73562.1	1	72	None	71	-278.8193	-3.927033
AAC73563.1	1	124	None	123	-495.7769	-4.030707
AAC73564.1	1	1049	None	1048	-3950.815	-3.769862
AAC73565.1	1	397	None	396	-1528.095	-3.858826
AAC73566.1	1	215	None	214	-845.641	-3.951593
AAC73567.1	1	1120	None	1119	-4198.035	-3.751595
AAC73568.1	1	53	None	52	-190.9856	-3.672799
AAC73569.1	1	175	None	174	-654.0965	-3.759175
AAC73570.1	1	125	None	124	-471.3606	-3.801296
AAC73571.1	1	183	None	182	-678.0855	-3.725744
AAC73572.1	1	643	None	642	-2394.896	-3.730368
AAC73573.1	1	109	None	108	-396.6768	-3.672933
AAC73574.1	1	201	None	200	-758.5808	-3.792904
AAC73575.1	1	624	None	623	-2302.655	-3.696076
AAC73576.1	1	214	None	213	-792.3181	-3.719803
AAC73577.1	1	320	None	319	-1196.944	-3.752176
AAC73578.1	1	319	None	318	-1242.827	-3.908261
AAC73579.1	1	434	None	433	-1654.499	-3.821013
AAC73580.1	1	558	None	557	-2053.286	-3.68633
AAC73581.1	1	406	None	405	-1563.883	-3.86144
AAC73582.1	1	550	None	549	-2056.229	-3.745407
AAC73583.1	1	159	None	158	-597.978	-3.784671
AAC73584.1	1	264	None	263	-1001.955	-3.809716
AAC73585.2	1	113	None	112	-434.8951	-3.882992
AAC73586.1	1	834	None	833	-3082.297	-3.700236
AAC73587.1	1	310	None	309	-1188.806	-3.84727
AAC73588.1	1	430	None	429	-1624.962	-3.787789
AAC73589.1	1	135	None	134	-496.3894	-3.704398
AAC73590.2	1	152	None	151	-578.9229	-3.833927
AAC73591.1	1	305	None	304	-1123.914	-3.697084
AAC73592.1	1	225	None	224	-865.1422	-3.862242
AAC73593.2	1	259	None	258	-976.6216	-3.785355
AAC73594.2	1	284	None	283	-1021.09	-3.608091
AAC73595.1	1	269	None	268	-1022.328	-3.814656
AAC73596.1	1	208	None	207	-788.3732	-3.808566
AAC73597.1	1	228	None	227	-864.786	-3.80963
AAC73598.1	1	804	None	803	-2999.307	-3.735126
AAC73599.1	1	1426	None	1425	-5672.124	-3.980438
AAC73600.1	1	122	None	121	-500.5981	-4.137174
AAC73605.1	1	364	None	363	-1359.106	-3.744093
AAC73606.1	1	308	None	307	-1176.428	-3.832013
AAC73607.1	1	160	None	159	-602.3555	-3.7884
AAC73608.1	1	271	None	270	-1055.65	-3.909816
AAC73609.1	1	593	None	592	-2228.036	-3.763575
AAC73610.1	1	258	None	257	-980.7012	-3.815958
AAC73611.1	1	292	None	291	-1090.746	-3.748267
AAC73613.2	1	484	None	483	-1849.33	-3.82884
AAC73614.1	1	453	None	452	-1692.77	-3.745067
AAC73615.2	1	433	None	432	-1670.417	-3.866707
AAC73616.1	1	381	None	380	-1412.462	-3.717006
AAC73617.1	1	261	None	260	-983.014	-3.780823
AAC73618.1	1	411	None	410	-1567.414	-3.82296
AAC73619.1	1	349	None	348	-1348.056	-3.873725
AAC73620.1	1	555	None	554	-2067.996	-3.732845
ABD18638.2	1	419	None	418	-1575.643	-3.76948
AAC73622.1	1	271	None	270	-1063.833	-3.940122
AAC73623.1	1	297	None	296	-1107.915	-3.742957
AAC73624.1	1	355	None	354	-1313.091	-3.709297
AAC73625.1	1	169	None	168	-621.0047	-3.696457
AAC73626.1	1	240	None	239	-906.5385	-3.793048
AAC73627.1	1	164	None	163	-609.0701	-3.736627
AAC73628.1	1	461	None	460	-1726.268	-3.752755
AAC73629.1	1	173	None	172	-675.2815	-3.926055
AAC73630.2	1	70	None	69	-255.9697	-3.709705
AAC73631.1	1	288	None	287	-1083.626	-3.775699
AAC73632.2	1	180	None	179	-717.6158	-4.009027
AAC73633.1	1	230	None	229	-929.3093	-4.058119
AAC73634.1	1	867	None	866	-3424.414	-3.954289
AAC73635.2	1	327	None	326	-1288.251	-3.951689
AAC73636.1	1	171	None	170	-696.2466	-4.095568
AAC73637.1	1	210	None	209	-851.5705	-4.0745
